,0,1,2,3,4
62,2123.0,1641.0,287.0,782.0,4187.0
63,2124.0,106.0,295.0,784.0,4188.0
64,2125.0,110.0,304.0,4372.0,4189.0
65,2127.0,113.0,322.0,1301.0,4190.0
66,2128.0,3697.0,347.0,792.0,96.0
67,2129.0,3699.0,350.0,793.0,4191.0
68,2130.0,4723.0,354.0,794.0,4194.0
69,2131.0,4214.0,357.0,795.0,4195.0
70,2132.0,1655.0,362.0,796.0,4196.0
71,2133.0,1656.0,365.0,4381.0,101.0
72,2134.0,122.0,374.0,798.0,102.0
73,2135.0,123.0,382.0,799.0,4198.0
74,2136.0,127.0,386.0,804.0,2152.0
75,2137.0,1663.0,389.0,805.0,4199.0
76,2138.0,132.0,403.0,807.0,4200.0
77,2139.0,1670.0,408.0,808.0,107.0
78,2140.0,136.0,419.0,1319.0,108.0
79,2141.0,138.0,427.0,810.0,109.0
80,2142.0,141.0,428.0,812.0,2155.0
81,2143.0,1678.0,445.0,815.0,4205.0
82,2144.0,143.0,450.0,1330.0,4207.0
83,2145.0,145.0,475.0,822.0,2161.0
84,2146.0,1682.0,478.0,1335.0,114.0
85,2147.0,148.0,499.0,4415.0,2162.0
86,2148.0,151.0,502.0,832.0,116.0
87,2149.0,156.0,535.0,840.0,4208.0
88,124.0,3741.0,538.0,1354.0,118.0
89,126.0,159.0,562.0,846.0,2166.0
90,129.0,1695.0,570.0,847.0,4210.0
91,131.0,4257.0,572.0,853.0,4216.0
92,134.0,168.0,578.0,854.0,2170.0
93,166.0,175.0,658.0,866.0,4218.0
94,167.0,176.0,667.0,1381.0,4219.0
95,169.0,178.0,671.0,1898.0,4220.0
96,171.0,1715.0,672.0,878.0,2174.0
97,172.0,180.0,673.0,880.0,4221.0
98,173.0,1720.0,674.0,1392.0,2177.0
99,179.0,185.0,677.0,1394.0,130.0
100,181.0,186.0,678.0,1920.0,4225.0
101,183.0,3769.0,679.0,2432.0,2180.0
102,190.0,191.0,680.0,1929.0,133.0
103,197.0,192.0,682.0,1938.0,4226.0
104,199.0,193.0,683.0,1940.0,2183.0
105,202.0,194.0,691.0,1945.0,2184.0
106,203.0,195.0,697.0,1957.0,4227.0
107,204.0,196.0,699.0,1958.0,4228.0
108,205.0,198.0,702.0,1965.0,139.0
109,206.0,200.0,704.0,1469.0,140.0
110,207.0,201.0,706.0,1993.0,2188.0
111,208.0,3786.0,707.0,2009.0,142.0
112,209.0,210.0,713.0,2526.0,2189.0
113,215.0,211.0,715.0,2023.0,144.0
114,226.0,1746.0,718.0,2540.0,2191.0
115,228.0,213.0,719.0,1530.0,146.0
116,229.0,3799.0,722.0,,147.0
117,230.0,216.0,723.0,,2192.0
118,231.0,217.0,724.0,,149.0
119,236.0,218.0,725.0,,150.0
120,237.0,221.0,726.0,,2196.0
121,241.0,224.0,729.0,,2198.0
122,244.0,4320.0,731.0,,4241.0
