,0,1,2,3,4,5
100,694.0,2491.0,270.0,811.0,,199.0
101,695.0,445.0,271.0,812.0,,202.0
102,696.0,456.0,276.0,813.0,,203.0
103,698.0,459.0,278.0,814.0,,205.0
104,700.0,2942.0,2327.0,816.0,,206.0
105,701.0,470.0,1816.0,817.0,,207.0
106,703.0,473.0,285.0,819.0,,208.0
107,705.0,475.0,3881.0,820.0,,209.0
108,708.0,476.0,298.0,825.0,,211.0
109,709.0,2524.0,300.0,828.0,,215.0
110,710.0,478.0,1324.0,829.0,,226.0
111,711.0,486.0,4397.0,832.0,,228.0
112,712.0,2946.0,4399.0,833.0,,229.0
113,714.0,4584.0,307.0,835.0,,230.0
114,715.0,490.0,821.0,836.0,,231.0
115,716.0,4592.0,1334.0,838.0,,232.0
116,717.0,497.0,4405.0,842.0,,236.0
117,718.0,4593.0,313.0,843.0,,238.0
118,720.0,499.0,315.0,844.0,,241.0
119,721.0,500.0,4414.0,847.0,,243.0
120,728.0,4594.0,323.0,848.0,,244.0
121,729.0,502.0,4421.0,849.0,,247.0
122,730.0,503.0,327.0,852.0,,248.0
123,733.0,2949.0,2378.0,853.0,,249.0
124,734.0,4595.0,1363.0,857.0,,250.0
125,737.0,4597.0,1369.0,859.0,,251.0
126,738.0,4600.0,1370.0,861.0,,253.0
127,739.0,4601.0,2394.0,862.0,,254.0
128,740.0,509.0,2401.0,863.0,,256.0
129,747.0,4603.0,866.0,868.0,,258.0
130,751.0,4604.0,869.0,872.0,,260.0
131,771.0,4605.0,873.0,875.0,,263.0
132,775.0,4607.0,1385.0,879.0,,264.0
133,779.0,4611.0,878.0,884.0,,265.0
134,806.0,516.0,880.0,888.0,,267.0
135,809.0,517.0,373.0,890.0,,268.0
136,818.0,4617.0,1399.0,895.0,,269.0
137,823.0,535.0,2426.0,899.0,,272.0
138,830.0,538.0,892.0,908.0,,273.0
139,834.0,542.0,896.0,913.0,,274.0
140,839.0,2596.0,1409.0,914.0,,275.0
141,845.0,4646.0,2434.0,916.0,,277.0
142,851.0,560.0,1415.0,917.0,,280.0
143,979.0,562.0,1418.0,919.0,,282.0
144,980.0,565.0,395.0,920.0,,283.0
145,981.0,566.0,1419.0,921.0,,284.0
146,982.0,570.0,909.0,922.0,,286.0
147,983.0,572.0,1421.0,929.0,,288.0
148,984.0,578.0,2454.0,932.0,,290.0
149,985.0,2965.0,1946.0,933.0,,291.0
150,986.0,2966.0,1435.0,936.0,,293.0
151,987.0,588.0,1947.0,940.0,,294.0
152,988.0,2638.0,1437.0,944.0,,297.0
153,989.0,591.0,414.0,950.0,,299.0
154,990.0,2639.0,1438.0,953.0,,301.0
155,991.0,2641.0,1439.0,978.0,,302.0
