,0,1,2
75,166.0,89.0,255.0
76,169.0,90.0,257.0
77,172.0,91.0,259.0
78,179.0,92.0,262.0
79,183.0,2135.0,287.0
80,184.0,94.0,295.0
81,188.0,2136.0,304.0
82,190.0,2139.0,311.0
83,197.0,2143.0,347.0
84,199.0,2145.0,354.0
85,203.0,4188.0,357.0
86,204.0,100.0,362.0
87,208.0,101.0,365.0
88,212.0,102.0,374.0
89,215.0,103.0,382.0
90,226.0,4191.0,389.0
91,229.0,105.0,403.0
92,236.0,106.0,408.0
93,237.0,107.0,419.0
94,245.0,108.0,427.0
95,247.0,109.0,428.0
96,250.0,110.0,445.0
97,252.0,4205.0,450.0
98,254.0,113.0,470.0
99,258.0,114.0,475.0
100,273.0,115.0,476.0
101,275.0,116.0,478.0
102,279.0,118.0,499.0
103,280.0,4214.0,502.0
104,281.0,120.0,503.0
105,284.0,122.0,535.0
106,288.0,123.0,538.0
107,292.0,127.0,562.0
108,294.0,130.0,570.0
109,296.0,132.0,572.0
110,301.0,133.0,578.0
111,306.0,4228.0,591.0
112,309.0,136.0,596.0
113,314.0,4233.0,606.0
114,316.0,138.0,658.0
115,317.0,139.0,665.0
116,318.0,140.0,667.0
117,319.0,141.0,671.0
118,320.0,142.0,672.0
119,322.0,143.0,673.0
120,324.0,144.0,674.0
121,325.0,145.0,675.0
122,328.0,146.0,677.0
123,329.0,147.0,678.0
124,331.0,148.0,679.0
125,332.0,149.0,680.0
126,333.0,150.0,681.0
127,334.0,151.0,682.0
128,335.0,154.0,683.0
129,336.0,155.0,685.0
130,338.0,156.0,686.0
131,339.0,157.0,687.0
132,340.0,159.0,688.0
133,341.0,161.0,691.0
134,342.0,4257.0,692.0
135,343.0,167.0,693.0
136,344.0,168.0,694.0
137,346.0,4265.0,695.0
138,348.0,171.0,696.0
139,349.0,173.0,697.0
140,350.0,175.0,698.0
141,352.0,176.0,699.0
142,353.0,178.0,701.0
143,355.0,180.0,702.0
144,358.0,181.0,703.0
145,359.0,4276.0,704.0
146,363.0,4278.0,705.0
147,364.0,185.0,706.0
148,367.0,186.0,707.0
149,368.0,191.0,708.0
150,370.0,192.0,709.0
151,371.0,193.0,710.0
152,372.0,194.0,711.0
153,375.0,195.0,712.0
154,376.0,196.0,713.0
155,377.0,2239.0,714.0
156,379.0,198.0,715.0
157,380.0,4295.0,717.0
158,381.0,200.0,718.0
159,386.0,201.0,719.0
160,387.0,202.0,720.0
161,388.0,4297.0,722.0
162,390.0,4299.0,723.0
163,392.0,205.0,724.0
164,393.0,206.0,725.0
165,396.0,207.0,726.0
166,397.0,2254.0,728.0
