,0,1,2,3,4,5,6
90,250.0,2412.0,198.0,4604.0,748.0,185.0,4301.0
91,254.0,367.0,202.0,4605.0,749.0,186.0,2254.0
92,255.0,2415.0,205.0,4607.0,757.0,191.0,2258.0
93,258.0,2416.0,1741.0,4609.0,758.0,192.0,2259.0
94,259.0,2419.0,1743.0,4610.0,759.0,2239.0,4308.0
95,267.0,2421.0,209.0,4611.0,760.0,194.0,4309.0
96,269.0,2423.0,1746.0,4615.0,762.0,195.0,4310.0
97,4367.0,2428.0,211.0,4617.0,765.0,200.0,4312.0
98,273.0,2429.0,1751.0,538.0,767.0,201.0,4315.0
99,275.0,2432.0,217.0,2607.0,768.0,4299.0,2268.0
100,280.0,2433.0,1763.0,562.0,774.0,4302.0,4316.0
101,281.0,386.0,228.0,570.0,777.0,210.0,4318.0
102,284.0,2435.0,230.0,2618.0,778.0,213.0,2271.0
103,287.0,2438.0,231.0,572.0,779.0,216.0,2272.0
104,288.0,2440.0,232.0,2623.0,786.0,218.0,4321.0
105,292.0,2441.0,1254.0,2638.0,789.0,221.0,2274.0
106,293.0,2444.0,238.0,2639.0,791.0,224.0,2275.0
107,294.0,2446.0,241.0,4687.0,797.0,4320.0,4322.0
108,296.0,2449.0,1777.0,2641.0,802.0,227.0,2277.0
109,301.0,402.0,243.0,2646.0,809.0,234.0,2278.0
110,306.0,2450.0,248.0,2647.0,813.0,239.0,4325.0
111,309.0,2451.0,249.0,2652.0,817.0,1775.0,2280.0
112,310.0,2453.0,251.0,2663.0,826.0,4336.0,2281.0
113,311.0,2456.0,1788.0,2665.0,827.0,756.0,2282.0
114,314.0,2464.0,1790.0,4713.0,828.0,246.0,4326.0
115,316.0,2465.0,1791.0,2667.0,831.0,1273.0,4334.0
116,317.0,2474.0,256.0,4716.0,834.0,253.0,2287.0
117,320.0,2475.0,260.0,4728.0,835.0,1280.0,4335.0
118,325.0,2479.0,1798.0,4729.0,849.0,261.0,4337.0
119,326.0,2480.0,263.0,4731.0,852.0,4358.0,4339.0
120,328.0,2520.0,264.0,4735.0,862.0,266.0,4341.0
121,331.0,2526.0,265.0,4741.0,907.0,4363.0,4347.0
