,0,1,2,3,4,5,6
29,81.0,2131.0,222.0,121.0,3663.0,50.0,2100.0
30,1618.0,2133.0,223.0,125.0,84.0,55.0,2103.0
31,2640.0,2138.0,225.0,135.0,89.0,57.0,2105.0
32,87.0,2141.0,233.0,152.0,91.0,59.0,2106.0
33,88.0,2142.0,235.0,2202.0,4188.0,67.0,61.0
34,1623.0,2144.0,2286.0,162.0,4699.0,69.0,2110.0
35,90.0,2146.0,240.0,164.0,4191.0,72.0,64.0
36,1624.0,2147.0,2289.0,169.0,3684.0,74.0,2112.0
37,92.0,2149.0,242.0,182.0,101.0,96.0,2113.0
38,2649.0,124.0,2295.0,183.0,102.0,97.0,2115.0
39,94.0,126.0,2314.0,184.0,3686.0,111.0,68.0
40,1636.0,129.0,4362.0,188.0,105.0,137.0,2116.0
41,1638.0,131.0,4366.0,197.0,107.0,153.0,2117.0
42,103.0,134.0,4370.0,212.0,108.0,160.0,2123.0
43,110.0,179.0,4375.0,2285.0,109.0,165.0,2124.0
44,113.0,190.0,2333.0,245.0,3695.0,174.0,79.0
45,118.0,199.0,4384.0,252.0,3696.0,189.0,2128.0
46,1655.0,203.0,4387.0,257.0,4209.0,219.0,2130.0
47,4214.0,204.0,2341.0,262.0,114.0,289.0,2132.0
48,122.0,215.0,4393.0,4359.0,115.0,295.0,2134.0
49,123.0,226.0,2348.0,4372.0,116.0,308.0,2135.0
50,127.0,229.0,304.0,2326.0,4720.0,671.0,2136.0
51,1663.0,236.0,4411.0,279.0,4726.0,672.0,2137.0
52,132.0,237.0,4413.0,4381.0,120.0,673.0,2139.0
53,133.0,4340.0,4416.0,2336.0,130.0,674.0,2140.0
54,136.0,250.0,4417.0,2337.0,4228.0,675.0,2143.0
55,138.0,254.0,4419.0,4385.0,4233.0,676.0,2145.0
56,140.0,255.0,2375.0,4388.0,139.0,677.0,100.0
57,143.0,258.0,4426.0,4389.0,141.0,678.0,2148.0
58,144.0,259.0,4427.0,4390.0,142.0,679.0,106.0
