,0,1,2,3,4,5,6
93,229.0,4434.0,265.0,2540.0,3841.0,308.0,735.0
94,235.0,4435.0,266.0,2545.0,773.0,830.0,738.0
95,236.0,4436.0,4363.0,4596.0,1285.0,1348.0,739.0
96,237.0,4437.0,268.0,4599.0,775.0,2373.0,742.0
97,247.0,4438.0,270.0,2553.0,2312.0,839.0,744.0
98,250.0,4439.0,4367.0,2555.0,3847.0,1354.0,747.0
99,254.0,347.0,272.0,4606.0,2316.0,2378.0,749.0
100,255.0,2395.0,274.0,4616.0,784.0,845.0,758.0
101,258.0,2397.0,276.0,2572.0,2320.0,1360.0,759.0
102,259.0,2399.0,277.0,2574.0,1302.0,851.0,768.0
103,267.0,354.0,278.0,2576.0,1303.0,854.0,771.0
104,269.0,2403.0,282.0,2579.0,2332.0,1370.0,774.0
105,273.0,2404.0,283.0,2582.0,1316.0,2394.0,778.0
106,275.0,2405.0,4378.0,2584.0,806.0,1378.0,779.0
107,279.0,2406.0,285.0,2589.0,1319.0,1383.0,786.0
108,280.0,357.0,286.0,2590.0,1320.0,1385.0,809.0
109,281.0,2407.0,4379.0,2591.0,1325.0,1418.0,814.0
110,284.0,2409.0,290.0,2592.0,1329.0,395.0,817.0
111,287.0,362.0,291.0,2600.0,818.0,1419.0,823.0
112,288.0,2411.0,293.0,2602.0,3893.0,1932.0,834.0
113,292.0,365.0,297.0,2605.0,1336.0,1946.0,835.0
114,294.0,2413.0,298.0,2606.0,1339.0,1947.0,862.0
115,296.0,2414.0,299.0,2608.0,832.0,1438.0,866.0
116,301.0,2415.0,300.0,2609.0,1345.0,1439.0,878.0
117,306.0,2420.0,4397.0,2610.0,1346.0,1956.0,880.0
118,309.0,374.0,302.0,2611.0,1359.0,1959.0,916.0
119,311.0,2424.0,303.0,2613.0,1361.0,1962.0,936.0
120,314.0,2425.0,4399.0,2616.0,1881.0,1451.0,979.0
121,316.0,382.0,305.0,2617.0,1882.0,1964.0,980.0
122,317.0,2430.0,307.0,2624.0,1888.0,1453.0,981.0
123,318.0,2431.0,4405.0,2625.0,1896.0,1966.0,982.0
124,320.0,2436.0,310.0,2628.0,1905.0,1462.0,983.0
125,324.0,389.0,312.0,2630.0,1907.0,1979.0,984.0
126,325.0,2437.0,313.0,2631.0,1921.0,1980.0,985.0
127,326.0,2439.0,4408.0,2635.0,1930.0,1982.0,986.0
128,328.0,2443.0,315.0,2642.0,1935.0,1988.0,987.0
129,329.0,2447.0,4414.0,2643.0,1937.0,1479.0,988.0
130,331.0,2448.0,321.0,2644.0,1938.0,1996.0,989.0
131,332.0,2450.0,323.0,2650.0,1939.0,1999.0,990.0
132,333.0,403.0,4421.0,2653.0,1940.0,2003.0,991.0
133,334.0,2451.0,327.0,2658.0,1977.0,1521.0,992.0
134,335.0,2452.0,4423.0,2659.0,2522.0,505.0,993.0
135,336.0,2455.0,330.0,2661.0,2547.0,1533.0,994.0
136,338.0,408.0,4428.0,2666.0,2549.0,,995.0
137,339.0,2456.0,4429.0,4733.0,,,996.0
138,340.0,2458.0,337.0,4738.0,,,997.0
139,341.0,2459.0,345.0,4740.0,,,998.0
140,342.0,2460.0,351.0,727.0,,,999.0
141,343.0,2461.0,356.0,736.0,,,1000.0
142,344.0,2462.0,361.0,741.0,,,1001.0
143,346.0,2463.0,2412.0,746.0,,,1002.0
144,348.0,2466.0,369.0,753.0,,,1003.0
145,349.0,419.0,373.0,754.0,,,1004.0
146,352.0,2467.0,378.0,755.0,,,1005.0
147,353.0,2468.0,383.0,761.0,,,1006.0
148,355.0,2470.0,384.0,764.0,,,1007.0
149,358.0,2471.0,2434.0,782.0,,,1008.0
150,359.0,2469.0,391.0,788.0,,,1009.0
151,360.0,2473.0,394.0,793.0,,,1010.0
152,363.0,427.0,2457.0,795.0,,,1011.0
153,364.0,2476.0,410.0,796.0,,,1012.0
154,366.0,2477.0,414.0,798.0,,,1013.0
155,367.0,2478.0,417.0,800.0,,,1014.0
156,368.0,2481.0,418.0,810.0,,,1015.0
157,370.0,2482.0,422.0,811.0,,,1016.0
158,371.0,2483.0,426.0,819.0,,,1017.0
159,372.0,2485.0,433.0,825.0,,,1018.0
