,0,1,2,3,4,5
110,227.0,1755.0,983.0,2278.0,789.0,233.0
111,234.0,220.0,984.0,4325.0,790.0,235.0
112,239.0,1244.0,985.0,2281.0,791.0,236.0
113,1775.0,222.0,986.0,2282.0,792.0,237.0
114,756.0,223.0,987.0,2287.0,793.0,238.0
115,1273.0,1248.0,988.0,4336.0,795.0,240.0
116,251.0,1253.0,990.0,4337.0,796.0,241.0
117,253.0,3818.0,991.0,4339.0,797.0,242.0
118,1280.0,1259.0,992.0,4341.0,798.0,243.0
119,260.0,1260.0,993.0,246.0,799.0,244.0
120,261.0,1261.0,994.0,4349.0,800.0,4340.0
121,265.0,1262.0,995.0,2302.0,801.0,247.0
122,266.0,1265.0,996.0,2303.0,802.0,248.0
123,4363.0,3825.0,997.0,2304.0,803.0,249.0
124,4365.0,1267.0,998.0,4351.0,804.0,250.0
125,270.0,1269.0,999.0,4352.0,808.0,254.0
126,271.0,1270.0,1000.0,4357.0,810.0,255.0
127,272.0,1272.0,1001.0,4358.0,811.0,256.0
128,276.0,1791.0,1002.0,2312.0,812.0,258.0
129,278.0,3839.0,1003.0,2316.0,813.0,259.0
130,1816.0,1795.0,1004.0,2327.0,814.0,263.0
131,285.0,1796.0,1005.0,2332.0,815.0,264.0
132,298.0,4359.0,1006.0,4380.0,816.0,267.0
133,300.0,3850.0,1007.0,4382.0,819.0,268.0
134,1324.0,781.0,1008.0,4383.0,820.0,269.0
135,4397.0,4366.0,1009.0,289.0,825.0,4367.0
136,4399.0,783.0,1010.0,308.0,826.0,273.0
137,305.0,4378.0,1011.0,2360.0,827.0,274.0
138,307.0,4379.0,1012.0,2371.0,828.0,275.0
139,1331.0,1820.0,1013.0,2373.0,829.0,277.0
140,821.0,4385.0,1014.0,2394.0,831.0,280.0
141,1334.0,3876.0,1015.0,2500.0,832.0,281.0
142,4405.0,4389.0,1016.0,2515.0,833.0,282.0
143,313.0,3878.0,1018.0,2519.0,835.0,283.0
144,315.0,4390.0,1019.0,2528.0,836.0,284.0
145,1340.0,4395.0,1020.0,2548.0,838.0,286.0
146,4414.0,3884.0,1021.0,2563.0,840.0,287.0
147,323.0,1837.0,1022.0,2568.0,842.0,288.0
148,4421.0,1838.0,1023.0,2569.0,843.0,290.0
149,327.0,3885.0,1024.0,2585.0,844.0,291.0
150,839.0,3886.0,1025.0,4667.0,846.0,292.0
151,841.0,4402.0,1027.0,4670.0,847.0,293.0
152,2378.0,824.0,1028.0,2629.0,848.0,294.0
153,1363.0,3897.0,1029.0,4697.0,849.0,296.0
154,1369.0,4408.0,1030.0,4711.0,852.0,297.0
