,0,1,2
154,720.0,340.0,207.0
155,722.0,341.0,2254.0
156,723.0,342.0,209.0
157,724.0,343.0,210.0
158,725.0,344.0,211.0
159,726.0,346.0,2259.0
160,728.0,348.0,213.0
161,729.0,349.0,4301.0
162,730.0,350.0,2263.0
163,731.0,352.0,216.0
164,732.0,353.0,217.0
165,733.0,355.0,218.0
166,734.0,358.0,4310.0
167,735.0,359.0,4315.0
168,738.0,360.0,221.0
169,739.0,363.0,4316.0
170,741.0,364.0,224.0
171,742.0,366.0,4320.0
172,743.0,367.0,227.0
173,744.0,368.0,228.0
174,746.0,370.0,230.0
175,747.0,371.0,231.0
176,748.0,372.0,232.0
177,749.0,375.0,234.0
178,750.0,376.0,2282.0
179,757.0,377.0,238.0
180,758.0,379.0,239.0
181,759.0,380.0,2287.0
182,760.0,381.0,241.0
183,762.0,385.0,4336.0
184,763.0,386.0,243.0
185,764.0,387.0,244.0
186,765.0,388.0,4339.0
187,767.0,390.0,246.0
188,768.0,392.0,248.0
189,770.0,393.0,249.0
190,774.0,396.0,251.0
191,776.0,397.0,253.0
192,777.0,398.0,2302.0
193,778.0,399.0,256.0
194,779.0,400.0,4352.0
195,785.0,401.0,260.0
196,786.0,402.0,261.0
197,787.0,404.0,4358.0
198,789.0,405.0,263.0
199,790.0,406.0,264.0
200,791.0,407.0,265.0
201,797.0,409.0,266.0
202,800.0,411.0,267.0
203,801.0,412.0,268.0
204,802.0,413.0,2312.0
205,809.0,415.0,270.0
206,811.0,416.0,271.0
207,813.0,420.0,272.0
208,814.0,421.0,2316.0
209,816.0,423.0,274.0
210,817.0,424.0,4363.0
211,823.0,425.0,276.0
212,826.0,2472.0,277.0
213,827.0,429.0,278.0
214,828.0,430.0,4372.0
215,829.0,431.0,4373.0
216,831.0,432.0,282.0
217,834.0,2480.0,283.0
218,835.0,434.0,2332.0
219,836.0,435.0,285.0
220,838.0,436.0,286.0
221,842.0,437.0,4378.0
222,844.0,438.0,4379.0
223,849.0,2484.0,289.0
224,852.0,441.0,290.0
225,858.0,442.0,291.0
