,0,1,2,3,4,5
84,677.0,102.0,328.0,1354.0,2398.0,230.0
85,678.0,4196.0,329.0,2378.0,2399.0,231.0
86,679.0,2152.0,331.0,1363.0,2403.0,232.0
87,680.0,105.0,332.0,1369.0,364.0,234.0
88,682.0,4198.0,333.0,1370.0,2412.0,238.0
89,683.0,107.0,334.0,873.0,2415.0,239.0
90,691.0,108.0,335.0,878.0,2416.0,241.0
91,699.0,109.0,338.0,1399.0,2418.0,243.0
92,702.0,110.0,339.0,892.0,2419.0,244.0
93,704.0,2155.0,340.0,896.0,2421.0,248.0
94,707.0,4199.0,342.0,1409.0,2423.0,249.0
95,713.0,2161.0,343.0,2434.0,2428.0,251.0
96,715.0,114.0,344.0,1415.0,2429.0,253.0
97,718.0,115.0,4439.0,395.0,2432.0,256.0
98,719.0,116.0,346.0,1419.0,2433.0,260.0
99,722.0,2162.0,348.0,1421.0,386.0,263.0
100,723.0,118.0,349.0,1946.0,2435.0,264.0
101,724.0,2166.0,352.0,1435.0,2438.0,265.0
102,725.0,120.0,353.0,1947.0,2440.0,266.0
103,726.0,4208.0,355.0,1437.0,2441.0,267.0
104,729.0,2170.0,358.0,1438.0,2444.0,268.0
105,731.0,4210.0,359.0,1439.0,2446.0,269.0
106,732.0,4211.0,363.0,1948.0,2449.0,270.0
107,735.0,4212.0,367.0,1952.0,402.0,4363.0
108,742.0,2174.0,368.0,1953.0,2450.0,272.0
109,743.0,4215.0,370.0,1956.0,2451.0,274.0
110,744.0,4216.0,371.0,1959.0,2453.0,277.0
111,747.0,2177.0,372.0,1964.0,2456.0,278.0
112,748.0,130.0,375.0,1968.0,2464.0,282.0
113,749.0,4218.0,376.0,1970.0,2465.0,283.0
114,750.0,2180.0,377.0,1461.0,2474.0,285.0
115,757.0,133.0,379.0,1462.0,2475.0,286.0
116,758.0,4221.0,380.0,1976.0,2479.0,290.0
117,759.0,2183.0,381.0,1979.0,2520.0,291.0
118,760.0,2184.0,387.0,1980.0,2522.0,293.0
119,762.0,4225.0,390.0,1982.0,2526.0,297.0
120,765.0,4226.0,392.0,1984.0,2527.0,298.0
121,767.0,139.0,393.0,1985.0,4576.0,299.0
122,768.0,140.0,396.0,1479.0,2533.0,300.0
123,770.0,2188.0,397.0,1994.0,4586.0,302.0
