,0,1,2,3,4
70,822.0,2142.0,386.0,1743.0,87.0
71,313.0,2143.0,389.0,1748.0,88.0
72,4414.0,2145.0,419.0,727.0,89.0
73,2378.0,2146.0,450.0,1239.0,4182.0
74,1363.0,2147.0,499.0,1249.0,91.0
75,854.0,100.0,502.0,1250.0,4184.0
76,1437.0,2148.0,570.0,1258.0,4185.0
77,1953.0,2149.0,578.0,1268.0,4187.0
78,1970.0,126.0,667.0,1269.0,4188.0
79,2014.0,4222.0,671.0,1270.0,96.0
80,2022.0,129.0,672.0,1272.0,4189.0
81,2030.0,134.0,673.0,1789.0,4190.0
82,1525.0,166.0,674.0,1790.0,4191.0
83,505.0,167.0,677.0,1791.0,4194.0
84,,171.0,678.0,1796.0,101.0
85,,172.0,679.0,781.0,102.0
86,,173.0,680.0,783.0,103.0
87,,178.0,682.0,273.0,2152.0
88,,180.0,683.0,279.0,4195.0
89,,181.0,691.0,1820.0,4196.0
90,,190.0,697.0,803.0,107.0
91,,191.0,699.0,824.0,108.0
92,,192.0,702.0,318.0,109.0
93,,193.0,704.0,324.0,110.0
94,,194.0,706.0,837.0,2155.0
95,,196.0,707.0,1861.0,4199.0
96,,198.0,713.0,1353.0,113.0
97,,199.0,715.0,329.0,114.0
98,,200.0,718.0,841.0,2161.0
99,,202.0,719.0,1356.0,116.0
100,,203.0,722.0,846.0,2162.0
101,,204.0,723.0,335.0,118.0
102,,205.0,724.0,336.0,2166.0
103,,206.0,725.0,850.0,120.0
104,,207.0,726.0,341.0,4208.0
105,,208.0,729.0,855.0,2170.0
106,,209.0,731.0,859.0,123.0
107,,2484.0,732.0,863.0,4211.0
108,,211.0,735.0,867.0,4212.0
109,,214.0,736.0,1384.0,2174.0
110,,215.0,741.0,363.0,4214.0
111,,217.0,742.0,364.0,4215.0
112,,220.0,743.0,877.0,2177.0
113,,224.0,744.0,2412.0,130.0
114,,226.0,746.0,367.0,4218.0
115,,228.0,747.0,1391.0,132.0
116,,229.0,748.0,883.0,133.0
117,,230.0,749.0,374.0,2180.0
118,,231.0,750.0,1398.0,2183.0
119,,232.0,752.0,891.0,2184.0
120,,233.0,753.0,895.0,4225.0
121,,234.0,754.0,2434.0,138.0
122,,235.0,755.0,906.0,139.0
123,,236.0,757.0,402.0,140.0
124,,237.0,758.0,919.0,2188.0
125,,238.0,759.0,1949.0,142.0
126,,239.0,760.0,928.0,143.0
127,,240.0,761.0,934.0,144.0
128,,241.0,762.0,2472.0,145.0
129,,242.0,763.0,938.0,146.0
130,,243.0,764.0,942.0,147.0
131,,244.0,765.0,2480.0,2189.0
132,,4340.0,767.0,945.0,149.0
133,,247.0,768.0,946.0,150.0
134,,248.0,770.0,1457.0,2191.0
135,,249.0,774.0,1458.0,2192.0
136,,250.0,776.0,2487.0,2196.0
137,,251.0,777.0,952.0,154.0
138,,253.0,778.0,4023.0,155.0
139,,254.0,780.0,954.0,156.0
140,,255.0,782.0,955.0,157.0
141,,256.0,785.0,956.0,2198.0
142,,258.0,786.0,959.0,159.0
143,,259.0,787.0,1475.0,160.0
144,,260.0,789.0,964.0,161.0
145,,263.0,790.0,967.0,2205.0
146,,264.0,791.0,968.0,2206.0
147,,265.0,792.0,969.0,2207.0
148,,266.0,795.0,970.0,2211.0
149,,267.0,796.0,971.0,4253.0
150,,268.0,797.0,974.0,2215.0
151,,269.0,798.0,1998.0,2216.0
152,,270.0,799.0,976.0,4256.0
153,,4363.0,800.0,2007.0,4257.0
154,,272.0,801.0,1501.0,2219.0
155,,4367.0,802.0,1506.0,2220.0
156,,274.0,804.0,2024.0,2221.0
157,,275.0,808.0,2025.0,174.0
158,,277.0,810.0,492.0,175.0
159,,278.0,811.0,2031.0,2223.0
160,,280.0,812.0,2032.0,4265.0
161,,281.0,813.0,2033.0,2226.0
162,,282.0,814.0,2036.0,4266.0
163,,283.0,816.0,,2228.0
164,,284.0,817.0,,4269.0
165,,285.0,819.0,,4271.0
166,,286.0,820.0,,4272.0
167,,287.0,825.0,,2232.0
168,,288.0,826.0,,4273.0
169,,290.0,827.0,,4276.0
170,,291.0,828.0,,2235.0
171,,292.0,829.0,,2236.0
172,,293.0,831.0,,4278.0
173,,294.0,832.0,,2238.0
174,,296.0,833.0,,2239.0
175,,297.0,835.0,,2240.0
176,,298.0,836.0,,2241.0
177,,299.0,838.0,,2242.0
178,,301.0,840.0,,195.0
179,,302.0,842.0,,2243.0
180,,303.0,843.0,,2244.0
181,,304.0,844.0,,4285.0
182,,305.0,847.0,,2247.0
183,,306.0,848.0,,4287.0
184,,4399.0,849.0,,201.0
185,,309.0,852.0,,2250.0
186,,310.0,853.0,,4293.0
187,,311.0,857.0,,4294.0
188,,312.0,860.0,,4295.0
189,,4405.0,861.0,,2254.0
190,,314.0,862.0,,4297.0
191,,315.0,865.0,,4299.0
192,,316.0,866.0,,4300.0
193,,317.0,868.0,,210.0
194,,4408.0,870.0,,2258.0
195,,320.0,871.0,,2259.0
196,,321.0,872.0,,4301.0
197,,323.0,874.0,,4302.0
198,,325.0,875.0,,2263.0
199,,326.0,876.0,,4303.0
200,,4421.0,878.0,,4306.0
201,,328.0,879.0,,4308.0
202,,4423.0,880.0,,4309.0
203,,330.0,882.0,,2268.0
204,,331.0,884.0,,221.0
205,,332.0,885.0,,2269.0
206,,333.0,886.0,,2270.0
207,,334.0,887.0,,2271.0
208,,4428.0,888.0,,2273.0
209,,4429.0,889.0,,2274.0
210,,337.0,890.0,,4315.0
211,,338.0,898.0,,4316.0
212,,339.0,899.0,,2277.0
213,,340.0,900.0,,2278.0
214,,342.0,901.0,,2279.0
215,,343.0,902.0,,2280.0
216,,344.0,903.0,,2281.0
217,,345.0,904.0,,2282.0
218,,346.0,905.0,,4322.0
219,,4439.0,907.0,,4325.0
220,,348.0,908.0,,4326.0
221,,349.0,910.0,,4327.0
222,,351.0,913.0,,2287.0
223,,352.0,914.0,,2288.0
224,,353.0,915.0,,4329.0
225,,355.0,916.0,,2290.0
226,,356.0,917.0,,2291.0
227,,358.0,920.0,,4331.0
228,,359.0,921.0,,4334.0
229,,360.0,922.0,,246.0
230,,361.0,924.0,,4336.0
231,,365.0,925.0,,4337.0
232,,366.0,926.0,,4338.0
233,,368.0,927.0,,4339.0
234,,369.0,929.0,,4341.0
235,,370.0,931.0,,4347.0
236,,371.0,932.0,,2301.0
237,,372.0,933.0,,2302.0
238,,373.0,936.0,,2303.0
